"id","word","word_lenght","word_vowels","total_attempts","game_time","total_time","date","game_status"
1,"instaurar",9,4,3,3.3819291591644287,7.462209224700928,"2022-07-18",1
2,"impagas",7,3,3,3.378185272216797,5.3500542640686035,"2022-07-18",1
3,"costaba",7,3,3,3.8955018520355225,5.074264764785767,"2022-07-18",1
4,"saxofono",8,4,3,2.9020397663116455,4.0850830078125,"2022-07-18",1
5,"electores",9,4,2,2.5737078189849854,3.8050618171691895,"2022-07-18",1
6,"aquitana",8,5,2,1.8580679893493652,3.0897562503814697,"2022-07-18",1
7,"gozan",5,2,3,3.0713839530944824,4.260010004043579,"2022-07-18",1
8,"girando",7,3,2,2.431264877319336,3.814404010772705,"2022-07-18",1
9,"zarzamoras",10,4,2,2.152296304702759,4.550763130187988,"2022-07-18",1
10,"limonita",8,4,3,4.298562049865723,6.459146976470947,"2022-07-18",1
11,"conllevan",9,3,2,1.8394508361816406,2.9549388885498047,"2022-07-18",1
12,"entienda",8,4,3,3.689893960952759,4.872705936431885,"2022-07-18",1
13,"clemente",8,3,2,2.13828182220459,3.64107084274292,"2022-07-18",1
14,"ofrecida",8,4,2,2.274231195449829,3.4512572288513184,"2022-07-18",1
15,"resaltando",10,4,3,3.6767659187316895,5.238774061203003,"2022-07-18",1
16,"cosechas",8,3,3,3.714951276779175,4.932801246643066,"2022-07-18",1
17,"notacion",8,4,5,5.1294169425964355,6.581791877746582,"2022-07-18",0
18,"confluyente",11,4,2,1.8513200283050537,3.009352207183838,"2022-07-18",1
19,"aprehension",11,5,2,3.06676983833313,4.407732963562012,"2022-07-18",1
20,"hieros",6,3,2,2.3368470668792725,3.8849399089813232,"2022-07-18",1
21,"citada",6,3,3,2.9770240783691406,4.217653036117554,"2022-07-18",1
22,"amurallada",10,5,2,2.1345999240875244,3.3518359661102295,"2022-07-18",1
23,"cartilla",8,3,2,2.1495702266693115,3.576942205429077,"2022-07-18",1
24,"grandiosa",9,4,4,4.397905349731445,5.788140058517456,"2022-07-18",1
25,"eroticos",8,4,3,3.2313232421875,4.694536924362183,"2022-07-18",1
26,"ilicitas",8,4,3,3.1975607872009277,4.35167384147644,"2022-07-18",1
27,"pudiesen",8,4,2,3.3724470138549805,4.716356992721558,"2022-07-18",1
28,"deshacerse",10,4,3,3.1850240230560303,4.327500104904175,"2022-07-18",1
29,"ma単ana",6,3,3,3.6869027614593506,5.126871824264526,"2022-07-18",1
30,"sidney",6,2,3,2.7690069675445557,3.870197057723999,"2022-07-18",1
31,"diocleciano",11,6,3,4.300534725189209,5.48452091217041,"2022-07-18",1
32,"cantidades",10,4,2,2.452404022216797,3.9063429832458496,"2022-07-18",1
33,"atanasio",8,5,3,2.764111042022705,4.1818811893463135,"2022-07-18",1
34,"alimentada",10,5,2,2.150702714920044,3.550696849822998,"2022-07-18",1
35,"masivos",7,3,4,4.299939155578613,6.115911960601807,"2022-07-18",1
36,"verdugos",8,3,2,2.1521339416503906,3.5961060523986816,"2022-07-18",1
37,"densamente",10,4,2,2.136906862258911,3.791609048843384,"2022-07-18",1
38,"situacion",9,5,3,2.763659715652466,3.9481279850006104,"2022-07-18",1
39,"ergaster",8,3,3,3.0212948322296143,4.231380939483643,"2022-07-18",1
40,"conservador",11,4,2,1.8042240142822266,2.9834980964660645,"2022-07-18",1
41,"desfavorecidas",14,6,2,1.8345060348510742,3.194179058074951,"2022-07-18",1
42,"energeticos",11,5,2,2.362596273422241,3.5249180793762207,"2022-07-18",1
43,"absorbia",8,4,4,4.599205732345581,5.866490840911865,"2022-07-18",1
44,"magia",5,3,4,3.693559169769287,5.274673223495483,"2022-07-18",1
45,"micenico",8,4,3,3.1998677253723145,4.562737941741943,"2022-07-18",1
46,"indefensa",9,4,2,2.9384398460388184,4.321973085403442,"2022-07-18",1
47,"mineria",7,4,5,5.232556104660034,6.883347034454346,"2022-07-18",1
48,"reticente",9,4,2,2.381381034851074,3.5480949878692627,"2022-07-18",1
49,"meridionales",12,6,2,2.1493308544158936,3.899434804916382,"2022-07-18",1
50,"marc",4,1,3,3.0182619094848633,4.827789783477783,"2022-07-18",1
51,"sepultados",10,4,3,3.0509321689605713,4.613126277923584,"2022-07-18",1
52,"halogenado",10,5,2,2.4534521102905273,3.7995128631591797,"2022-07-18",1
53,"automatic",9,5,2,2.457509994506836,3.944934129714966,"2022-07-18",1
54,"valer",5,2,4,4.606682777404785,6.012907981872559,"2022-07-18",1
55,"carromato",9,4,3,3.378931999206543,4.81377100944519,"2022-07-18",1
56,"retroalimentado",15,7,2,1.8331429958343506,3.0946102142333984,"2022-07-18",1
57,"confinamiento",13,6,2,2.4565823078155518,3.8392581939697266,"2022-07-18",1
58,"bancarrota",10,4,2,2.455773115158081,3.5781140327453613,"2022-07-18",1
59,"valores",7,3,3,3.3925130367279053,4.785123109817505,"2022-07-18",1
60,"negociaron",10,5,2,2.150434732437134,3.3338189125061035,"2022-07-18",1
61,"ynys",4,0,2,1.8427510261535645,3.514146089553833,"2022-07-18",1
62,"utilizar",8,4,3,4.899667024612427,6.39479923248291,"2022-07-18",1
63,"apu単alado",9,5,2,2.3826279640197754,3.615208864212036,"2022-07-18",1
64,"agrio",5,3,4,4.301927328109741,5.810174226760864,"2022-07-18",1
65,"beeth",5,2,4,5.359313249588013,6.657987117767334,"2022-07-18",1
66,"karelia",7,4,3,3.072251796722412,4.412649869918823,"2022-07-18",1
67,"termodinamico",13,6,5,4.922721862792969,6.267055034637451,"2022-07-18",0
68,"mariachi",8,4,2,2.4646430015563965,3.837445020675659,"2022-07-18",1
69,"machito",7,3,3,3.3164780139923096,4.689371109008789,"2022-07-18",1
70,"puntual",7,3,3,3.3538150787353516,4.615828990936279,"2022-07-18",1
71,"calland",7,2,3,2.752448081970215,3.9211862087249756,"2022-07-18",1
72,"ulcera",6,3,3,3.3797872066497803,4.814324378967285,"2022-07-18",1
73,"desterrados",11,4,2,2.176121234893799,4.553024053573608,"2022-07-18",1
74,"lippmann",8,2,2,1.8459441661834717,3.16143798828125,"2022-07-18",1
75,"単ame",4,2,5,4.613275766372681,5.9912660121917725,"2022-07-18",0
76,"conduce",7,3,3,3.36505389213562,4.709658145904541,"2022-07-18",1
77,"duraderas",9,4,3,3.3803489208221436,4.674623012542725,"2022-07-18",1
78,"knee",4,2,5,4.6047751903533936,5.883481979370117,"2022-07-18",1
79,"dominancia",10,5,3,3.084810972213745,4.426942825317383,"2022-07-18",1
80,"heidelbergensis",15,6,2,2.1521668434143066,3.386383056640625,"2022-07-18",1
81,"mella",5,2,4,3.978177070617676,5.621335983276367,"2022-07-18",1
82,"abandonar",9,4,3,3.561697006225586,4.727639198303223,"2022-07-18",1
83,"clinicos",8,3,3,3.6873269081115723,4.95386004447937,"2022-07-18",1
84,"aplicada",8,4,2,2.158021926879883,3.3577017784118652,"2022-07-18",1
85,"instrumental",12,4,2,2.152160882949829,3.9815521240234375,"2022-07-18",1
86,"duraciones",10,5,2,2.084768056869507,3.9055984020233154,"2022-07-18",1
87,"provinciales",12,5,2,2.4539551734924316,3.8396899700164795,"2022-07-18",1
88,"berlusconi",10,4,2,2.163411855697632,3.35870099067688,"2022-07-18",1
89,"patricia",8,4,2,2.037013053894043,3.4803569316864014,"2022-07-18",1
90,"quimicadel",10,5,2,2.0122313499450684,3.3466861248016357,"2022-07-18",1
91,"melendez",8,3,2,2.1339709758758545,3.3224971294403076,"2022-07-18",1
92,"popolo",6,3,4,4.286135911941528,5.667449951171875,"2022-07-18",1
93,"insalubre",9,4,4,4.30212926864624,5.790375232696533,"2022-07-18",1
94,"nervio",6,3,3,2.760711193084717,4.1188530921936035,"2022-07-18",1
95,"nieta",5,3,2,1.8286538124084473,3.341296911239624,"2022-07-18",1
96,"profana",7,3,3,4.283711910247803,5.590250015258789,"2022-07-18",1
97,"casta単os",8,3,3,3.2258429527282715,5.79307222366333,"2022-07-18",1
98,"sinagoga",8,4,2,2.2605152130126953,3.8272593021392822,"2022-07-18",1
99,"traducciones",12,5,3,3.6871120929718018,4.963695049285889,"2022-07-18",1
100,"neopentecostalismo",18,8,2,1.846243143081665,3.064164161682129,"2022-07-18",1
